Contig	phylum	class	order	family	genus	species
k141_1998111	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola dorei (novel)
k141_355405	Proteobacteria	Betaproteobacteria	Rhodocyclales (novel)	Zoogloeaceae (novel)	Thauera (novel)	Thauera aminoaromatica (novel)
k141_763286	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter parvus (novel)
k141_2352789	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Alicycliphilus (novel)	Alicycliphilus denitrificans (novel)
k141_108662	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Alicycliphilus (novel)	Alicycliphilus denitrificans (novel)
k141_144945	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea sp. (novel)
k141_1857176	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii
k141_3495906	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii
k141_3553035	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter sp. (novel)
k141_2378732	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter lwoffii
k141_1877014	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas caviae
k141_1187084	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantarius (novel)
k141_2288660	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
k141_2999040	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii
k141_1782290	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
k141_143813	Proteobacteria	Betaproteobacteria	Rhodocyclales (novel)	Zoogloeaceae (novel)	Thauera (novel)	Thauera aminoaromatica (novel)
k141_3479770	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
k141_202071	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Alicycliphilus (novel)	Alicycliphilus denitrificans (novel)
k141_945954	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea sp. (novel)
